invoice_id,customer_code,product_code,quantity,unit_price,invoice_date,row_id,revenue,date,weekday,weekday_num,year_month
3,customer1,879200,10.0,950000,10/01/1404,1,9500000,2025-03-30,Sunday,6,2025-03
3,customer1,879193,8.0,1400000,10/01/1404,2,11200000,2025-03-30,Sunday,6,2025-03
3,customer1,879516052,5.0,450000,10/01/1404,3,2250000,2025-03-30,Sunday,6,2025-03
5,customer3,115,4.0,70000,12/01/1404,1,280000,2025-04-01,Tuesday,1,2025-04
5,customer3,855341113,1.0,617000,12/01/1404,2,617000,2025-04-01,Tuesday,1,2025-04
5,customer3,855341805,1.0,2750000,12/01/1404,3,2750000,2025-04-01,Tuesday,1,2025-04
5,customer3,160,2.0,48000000,12/01/1404,4,96000000,2025-04-01,Tuesday,1,2025-04
5,customer3,118,12.0,60000,12/01/1404,5,720000,2025-04-01,Tuesday,1,2025-04
5,customer3,855321201,2.0,32000,12/01/1404,6,64000,2025-04-01,Tuesday,1,2025-04
5,customer3,855121104,2.0,1250000,12/01/1404,7,2500000,2025-04-01,Tuesday,1,2025-04
5,customer3,256,4.0,250000,12/01/1404,8,1000000,2025-04-01,Tuesday,1,2025-04
5,customer3,855321105,5.0,40000,12/01/1404,9,200000,2025-04-01,Tuesday,1,2025-04
5,customer3,855121404,2.0,2500000,12/01/1404,10,5000000,2025-04-01,Tuesday,1,2025-04
5,customer3,641522,2.0,3500000,12/01/1404,11,7000000,2025-04-01,Tuesday,1,2025-04
5,customer3,470,4.0,3300000,12/01/1404,12,13200000,2025-04-01,Tuesday,1,2025-04
5,customer3,611,2.0,500000,12/01/1404,13,1000000,2025-04-01,Tuesday,1,2025-04
5,customer3,646,1.0,2700000,12/01/1404,14,2700000,2025-04-01,Tuesday,1,2025-04
5,customer3,647,4.0,2200000,12/01/1404,15,8800000,2025-04-01,Tuesday,1,2025-04
5,customer3,855121162,4.0,1100000,12/01/1404,16,4400000,2025-04-01,Tuesday,1,2025-04
5,customer3,641642,2.0,3600000,12/01/1404,17,7200000,2025-04-01,Tuesday,1,2025-04
5,customer3,1233,2.0,450000,12/01/1404,18,900000,2025-04-01,Tuesday,1,2025-04
5,customer3,855121235,2.0,1050000,12/01/1404,19,2100000,2025-04-01,Tuesday,1,2025-04
5,customer3,855121402,4.0,1500000,12/01/1404,20,6000000,2025-04-01,Tuesday,1,2025-04
5,customer3,819161025,32.0,411730,12/01/1404,21,13175360,2025-04-01,Tuesday,1,2025-04
5,customer3,879163,3.0,3400000,12/01/1404,22,10200000,2025-04-01,Tuesday,1,2025-04
5,customer3,879164,4.0,2600000,12/01/1404,23,10400000,2025-04-01,Tuesday,1,2025-04
5,customer3,879177,2.0,6000000,12/01/1404,24,12000000,2025-04-01,Tuesday,1,2025-04
5,customer3,879001,2.0,6000000,12/01/1404,25,12000000,2025-04-01,Tuesday,1,2025-04
5,customer3,879516116,1.5,1400000,12/01/1404,26,2100000,2025-04-01,Tuesday,1,2025-04
6,customer4,879516186,1.0,447000000,18/01/1404,1,447000000,2025-04-07,Monday,0,2025-04
6,customer4,149,1.0,45000000,18/01/1404,2,45000000,2025-04-07,Monday,0,2025-04
7,customer5,819141020,16.0,291720,18/01/1404,1,4667520,2025-04-07,Monday,0,2025-04
7,customer5,855321101,10.0,33330,18/01/1404,2,333300,2025-04-07,Monday,0,2025-04
7,customer5,855321301,10.0,43890,18/01/1404,3,438900,2025-04-07,Monday,0,2025-04
7,customer5,341901,1.0,654000,18/01/1404,4,654000,2025-04-07,Monday,0,2025-04
7,customer5,1199,10.0,50000,18/01/1404,5,500000,2025-04-07,Monday,0,2025-04
8,customer5,819141020,20.0,291720,16/01/1404,1,5834400,2025-04-05,Saturday,5,2025-04
9,customer6,855141504,1.0,2587420,18/01/1404,1,2587420,2025-04-07,Monday,0,2025-04
9,customer6,807261401,29.0,22330,18/01/1404,2,647570,2025-04-07,Monday,0,2025-04
9,customer6,641412,1.0,5570400,18/01/1404,3,5570400,2025-04-07,Monday,0,2025-04
9,customer6,747,3.0,950000,18/01/1404,4,2850000,2025-04-07,Monday,0,2025-04
9,customer6,516,1.0,1500000,18/01/1404,5,1500000,2025-04-07,Monday,0,2025-04
9,customer6,855162642,2.0,1860320,18/01/1404,6,3720640,2025-04-07,Monday,0,2025-04
9,customer6,855161302,6.0,1813570,18/01/1404,7,10881420,2025-04-07,Monday,0,2025-04
9,customer6,855161102,2.0,1139050,18/01/1404,8,2278100,2025-04-07,Monday,0,2025-04
9,customer6,371016,212.0,24310,18/01/1404,9,5153720,2025-04-07,Monday,0,2025-04
9,customer6,371020,28.0,30800,18/01/1404,10,862400,2025-04-07,Monday,0,2025-04
9,customer6,855311138,2.0,18185860,18/01/1404,11,36371720,2025-04-07,Monday,0,2025-04
9,customer6,641642,1.0,3277890,18/01/1404,12,3277890,2025-04-07,Monday,0,2025-04
9,customer6,641436,2.0,10216690,18/01/1404,13,20433380,2025-04-07,Monday,0,2025-04
9,customer6,855121142,2.0,960190,18/01/1404,14,1920380,2025-04-07,Monday,0,2025-04
9,customer6,323035,1.0,7851690,18/01/1404,15,7851690,2025-04-07,Monday,0,2025-04
9,customer6,855121235,3.0,886490,18/01/1404,16,2659470,2025-04-07,Monday,0,2025-04
9,customer6,855121432,2.0,2409880,18/01/1404,17,4819760,2025-04-07,Monday,0,2025-04
9,customer6,855311134,2.0,9182360,18/01/1404,18,18364720,2025-04-07,Monday,0,2025-04
9,customer6,855121906,3.0,1159840,18/01/1404,19,3479520,2025-04-07,Monday,0,2025-04
9,customer6,417,3.0,700000,18/01/1404,20,2100000,2025-04-07,Monday,0,2025-04
9,customer6,855141104,1.0,1634930,18/01/1404,21,1634930,2025-04-07,Monday,0,2025-04
9,customer6,855162410,3.0,1789150,18/01/1404,22,5367450,2025-04-07,Monday,0,2025-04
9,customer6,92632,1.8,1404150,18/01/1404,23,2527470,2025-04-07,Monday,0,2025-04
9,customer6,807311119,8.0,259380,18/01/1404,24,2075040,2025-04-07,Monday,0,2025-04
9,customer6,807311125,1.0,320100,18/01/1404,25,320100,2025-04-07,Monday,0,2025-04
9,customer6,855163402,4.0,2631200,18/01/1404,26,10524800,2025-04-07,Monday,0,2025-04
9,customer6,323065,1.0,11018700,18/01/1404,27,11018700,2025-04-07,Monday,0,2025-04
9,customer6,807311110,5.0,56760,18/01/1404,28,283800,2025-04-07,Monday,0,2025-04
9,customer6,813121020,65.5,533830,18/01/1404,29,34965865,2025-04-07,Monday,0,2025-04
9,customer6,855161710,4.0,1154230,18/01/1404,30,4616920,2025-04-07,Monday,0,2025-04
9,customer6,855162402,23.0,1307680,18/01/1404,31,30076640,2025-04-07,Monday,0,2025-04
9,customer6,855141502,3.0,1864830,18/01/1404,32,5594490,2025-04-07,Monday,0,2025-04
9,customer6,855121102,6.0,572550,18/01/1404,33,3435300,2025-04-07,Monday,0,2025-04
9,customer6,807311113,2.0,107030,18/01/1404,34,214060,2025-04-07,Monday,0,2025-04
9,customer6,813121016,309.0,301730,18/01/1404,35,93234570,2025-04-07,Monday,0,2025-04
10,customer7,807261401,300.0,24640,21/01/1404,1,7392000,2025-04-10,Thursday,3,2025-04
10,customer7,819161020,280.0,258280,21/01/1404,2,72318400,2025-04-10,Thursday,3,2025-04
10,customer7,546,100.0,52360,21/01/1404,3,5236000,2025-04-10,Thursday,3,2025-04
10,customer7,371020,100.0,41470,21/01/1404,4,4147000,2025-04-10,Thursday,3,2025-04
10,customer7,861645151,10.0,1600060,21/01/1404,5,16000600,2025-04-10,Thursday,3,2025-04
